time,prec,w_len,deep_perc,root_depth,root_frac,PE,PT,AT_soil_zone,AT_sub_soil,AE
0,0,0,0,0,0,0,0,0,0,0
1, 1, 1.5, 1.6, 0, 0, 0, 0, 0, 0, 0
2, 1.25, 1.125, 1.25, 1, 1, 0.25, 0.125, 0.125, 0, 0.25
3, 1.5, 0.786278827296117, 1.125, 3.5, 0.854884690815531, 0.5, 0.25, 0.213721172703883, 0, 0.5
4, 1.75, 0.3, 1.03627882729612, 5, 0.593987426033547, 1, 0.5, 0.296993713016774, 0, 0.903006286983226
5, 2, 1.5, 0.8, 5.5, 0.538892093793603, 0, 0, 0, 0, 0
