time,prec,deepPerc,rootDepth,transp
0,,,,
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,1,0.4
5,0,0,3,1.2
6,0,0,3.25,1.3
7,0,0,4.5,1.7
8,0,0,4.75,1.65
9,0,0,0,0
10,0,0,0,0
